"state","scenario","year_offset","removed_cum_Tg"
"IN","managed (intensive)",60,53.98
"IN","managed (intensive)",70,56.349
"IN","managed (intensive)",80,58.463
"IN","managed (intensive)",90,59.486
"IN","managed (intensive)",100,61.267
"KS","managed (intensive)",0,0
"KS","managed (intensive)",10,1.743
"KS","managed (intensive)",20,2.253
"KS","managed (intensive)",30,3.373
"KS","managed (intensive)",40,4.092
"KS","managed (intensive)",50,4.485
"KS","managed (intensive)",60,4.934
"KS","managed (intensive)",70,5.139
"KS","managed (intensive)",80,5.188
"KS","managed (intensive)",90,5.245
"KS","managed (intensive)",100,5.289
"KY","managed (intensive)",0,0
"KY","managed (intensive)",10,45.896
"KY","managed (intensive)",20,74.412
"KY","managed (intensive)",30,96.917
"KY","managed (intensive)",40,109.233
"KY","managed (intensive)",50,117.883
"KY","managed (intensive)",60,130.418
"KY","managed (intensive)",70,134.433
"KY","managed (intensive)",80,138.277
"KY","managed (intensive)",90,140.643
"KY","managed (intensive)",100,143.062
"LA","managed (intensive)",0,0
"LA","managed (intensive)",10,34.5
"LA","managed (intensive)",20,59.255
"LA","managed (intensive)",30,87.916
"LA","managed (intensive)",40,113.472
"LA","managed (intensive)",50,132.512
"LA","managed (intensive)",60,150.604
"LA","managed (intensive)",70,167.398
"LA","managed (intensive)",80,180.833
"LA","managed (intensive)",90,190.534
"LA","managed (intensive)",100,201.569
"MA","managed (intensive)",0,0
"MA","managed (intensive)",10,8.787
"MA","managed (intensive)",20,12.504
"MA","managed (intensive)",30,15.719
"MA","managed (intensive)",40,18.488
"MA","managed (intensive)",50,20.968
"MA","managed (intensive)",60,22.045
"MA","managed (intensive)",70,23.808
"MA","managed (intensive)",80,24.923
"MA","managed (intensive)",90,25.879
"MA","managed (intensive)",100,26.526
"MD","managed (intensive)",0,0
"MD","managed (intensive)",10,7.6
"MD","managed (intensive)",20,11.381
"MD","managed (intensive)",30,15.869
"MD","managed (intensive)",40,17.884
"MD","managed (intensive)",50,19.95
"MD","managed (intensive)",60,20.804
"MD","managed (intensive)",70,21.142
"MD","managed (intensive)",80,23.497
"MD","managed (intensive)",90,24.125
"MD","managed (intensive)",100,24.875
"ME","managed (intensive)",0,0
"ME","managed (intensive)",10,46.392
"ME","managed (intensive)",20,75.165
"ME","managed (intensive)",30,99.707
"ME","managed (intensive)",40,121.67
"ME","managed (intensive)",50,140.475
"ME","managed (intensive)",60,152.697
"ME","managed (intensive)",70,164.974
"ME","managed (intensive)",80,177.062
"ME","managed (intensive)",90,186.082
"ME","managed (intensive)",100,196.751
"MI","managed (intensive)",0,0
"MI","managed (intensive)",10,44.586
"MI","managed (intensive)",20,75.317
"MI","managed (intensive)",30,103.866
"MI","managed (intensive)",40,124.339
"MI","managed (intensive)",50,140.889
"MI","managed (intensive)",60,153.829
"MI","managed (intensive)",70,166.664
"MI","managed (intensive)",80,177.113
"MI","managed (intensive)",90,185.521
