"scenario","HL_saw","HL_pulp","LF_FRAC","HL_lf","DF","net_stock_d","net_subst_d"
"managed (harvest)",25,4,0.3,50,0.6,-164,6485
"managed (harvest)",35,4,0.3,50,0.6,365,7014
"managed (harvest)",50,4,0.3,50,0.6,942,7592
"managed (harvest)",25,2,0.5,50,0.6,824,7473
"managed (harvest)",35,2,0.5,50,0.6,1282,7931
"managed (harvest)",50,2,0.5,50,0.6,1774,8423
"managed (harvest)",25,4,0.5,50,0.6,881,7530
"managed (harvest)",35,4,0.5,50,0.6,1338,7988
"managed (harvest)",50,4,0.5,50,0.6,1831,8480
"managed (harvest)",25,2,0.15,100,0.6,-800,5849
"managed (harvest)",35,2,0.15,100,0.6,-234,6415
"managed (harvest)",50,2,0.15,100,0.6,391,7040
"managed (harvest)",25,4,0.15,100,0.6,-745,5905
"managed (harvest)",35,4,0.15,100,0.6,-179,6470
"managed (harvest)",50,4,0.15,100,0.6,446,7095
"managed (harvest)",25,2,0.3,100,0.6,192,6841
"managed (harvest)",35,2,0.3,100,0.6,686,7336
"managed (harvest)",50,2,0.3,100,0.6,1230,7879
"managed (harvest)",25,4,0.3,100,0.6,243,6892
"managed (harvest)",35,4,0.3,100,0.6,738,7387
"managed (harvest)",50,4,0.3,100,0.6,1282,7931
"managed (harvest)",25,2,0.5,100,0.6,1513,8162
"managed (harvest)",35,2,0.5,100,0.6,1914,8563
"managed (harvest)",50,2,0.5,100,0.6,2349,8998
"managed (harvest)",25,4,0.5,100,0.6,1560,8210
"managed (harvest)",35,4,0.5,100,0.6,1961,8610
"managed (harvest)",50,4,0.5,100,0.6,2396,9045
"managed (harvest)",25,2,0.15,200,0.6,-664,5985
"managed (harvest)",35,2,0.15,200,0.6,-110,6539
"managed (harvest)",50,2,0.15,200,0.6,504,7153
"managed (harvest)",25,4,0.15,200,0.6,-611,6038
"managed (harvest)",35,4,0.15,200,0.6,-57,6592
"managed (harvest)",50,4,0.15,200,0.6,557,7206
"managed (harvest)",25,2,0.3,200,0.6,463,7112
"managed (harvest)",35,2,0.3,200,0.6,935,7584
"managed (harvest)",50,2,0.3,200,0.6,1456,8105
"managed (harvest)",25,4,0.3,200,0.6,510,7159
"managed (harvest)",35,4,0.3,200,0.6,982,7631
"managed (harvest)",50,4,0.3,200,0.6,1503,8153
"managed (harvest)",25,2,0.5,200,0.6,1965,8614
"managed (harvest)",35,2,0.5,200,0.6,2328,8978
"managed (harvest)",50,2,0.5,200,0.6,2726,9375
"managed (harvest)",25,4,0.5,200,0.6,2005,8654
