"state","scenario","product","year_offset","bio_Tg"
"IL","reserve (no harvest)","pulpwood",0,53.51
"IL","reserve (no harvest)","pulpwood",10,56.969
"IL","reserve (no harvest)","pulpwood",20,59.259
"IL","reserve (no harvest)","pulpwood",30,59.238
"IL","reserve (no harvest)","pulpwood",40,57.686
"IL","reserve (no harvest)","pulpwood",50,55.981
"IL","reserve (no harvest)","pulpwood",60,53.146
"IL","reserve (no harvest)","pulpwood",70,50.971
"IL","reserve (no harvest)","pulpwood",80,48.215
"IL","reserve (no harvest)","pulpwood",90,45.744
"IL","reserve (no harvest)","pulpwood",100,43.518
"IL","reserve (no harvest)","residue",0,76.55
"IL","reserve (no harvest)","residue",10,81.01
"IL","reserve (no harvest)","residue",20,83.381
"IL","reserve (no harvest)","residue",30,82.566
"IL","reserve (no harvest)","residue",40,78.881
"IL","reserve (no harvest)","residue",50,74.831
"IL","reserve (no harvest)","residue",60,71.124
"IL","reserve (no harvest)","residue",70,67.15
"IL","reserve (no harvest)","residue",80,63.417
"IL","reserve (no harvest)","residue",90,60.038
"IL","reserve (no harvest)","residue",100,56.963
"IN","reserve (no harvest)","sawtimber",0,63.962
"IN","reserve (no harvest)","sawtimber",10,72.356
"IN","reserve (no harvest)","sawtimber",20,80.293
"IN","reserve (no harvest)","sawtimber",30,85.453
"IN","reserve (no harvest)","sawtimber",40,89.595
"IN","reserve (no harvest)","sawtimber",50,90.415
"IN","reserve (no harvest)","sawtimber",60,87.333
"IN","reserve (no harvest)","sawtimber",70,82.744
"IN","reserve (no harvest)","sawtimber",80,77.966
"IN","reserve (no harvest)","sawtimber",90,72.857
"IN","reserve (no harvest)","sawtimber",100,67.962
"IN","reserve (no harvest)","pulpwood",0,67.629
"IN","reserve (no harvest)","pulpwood",10,71.72
"IN","reserve (no harvest)","pulpwood",20,72.579
"IN","reserve (no harvest)","pulpwood",30,73.849
"IN","reserve (no harvest)","pulpwood",40,73.031
"IN","reserve (no harvest)","pulpwood",50,70.242
"IN","reserve (no harvest)","pulpwood",60,67.733
"IN","reserve (no harvest)","pulpwood",70,64.485
"IN","reserve (no harvest)","pulpwood",80,60.77
"IN","reserve (no harvest)","pulpwood",90,57.058
"IN","reserve (no harvest)","pulpwood",100,53.507
"IN","reserve (no harvest)","residue",0,100.358
"IN","reserve (no harvest)","residue",10,106.317
"IN","reserve (no harvest)","residue",20,111.18
"IN","reserve (no harvest)","residue",30,115.171
"IN","reserve (no harvest)","residue",40,116.955
"IN","reserve (no harvest)","residue",50,116.38
"IN","reserve (no harvest)","residue",60,112.338
"IN","reserve (no harvest)","residue",70,106.944
"IN","reserve (no harvest)","residue",80,100.931
"IN","reserve (no harvest)","residue",90,94.68
"IN","reserve (no harvest)","residue",100,88.688
"KS","reserve (no harvest)","sawtimber",0,1.39
"KS","reserve (no harvest)","sawtimber",10,1.665
"KS","reserve (no harvest)","sawtimber",20,1.712
"KS","reserve (no harvest)","sawtimber",30,1.458
"KS","reserve (no harvest)","sawtimber",40,1.498
"KS","reserve (no harvest)","sawtimber",50,1.451
"KS","reserve (no harvest)","sawtimber",60,1.383
"KS","reserve (no harvest)","sawtimber",70,1.289
"KS","reserve (no harvest)","sawtimber",80,1.211
"KS","reserve (no harvest)","sawtimber",90,1.11
"KS","reserve (no harvest)","sawtimber",100,1.008
"KS","reserve (no harvest)","pulpwood",0,9.946
"KS","reserve (no harvest)","pulpwood",10,10.743
"KS","reserve (no harvest)","pulpwood",20,11.138
"KS","reserve (no harvest)","pulpwood",30,12.407
"KS","reserve (no harvest)","pulpwood",40,12.555
"KS","reserve (no harvest)","pulpwood",50,12.736
"KS","reserve (no harvest)","pulpwood",60,12.519
"KS","reserve (no harvest)","pulpwood",70,11.8
"KS","reserve (no harvest)","pulpwood",80,10.944
"KS","reserve (no harvest)","pulpwood",90,9.989
"KS","reserve (no harvest)","pulpwood",100,9.035
"KS","reserve (no harvest)","residue",0,11.803
"KS","reserve (no harvest)","residue",10,12.014
"KS","reserve (no harvest)","residue",20,12.368
"KS","reserve (no harvest)","residue",30,11.878
"KS","reserve (no harvest)","residue",40,11.97
"KS","reserve (no harvest)","residue",50,11.888
"KS","reserve (no harvest)","residue",60,11.639
"KS","reserve (no harvest)","residue",70,10.867
